NAME,OCCUPATION,PHOTO,ME,CONT_ME,CONTACT,PHONE,ADDRESS,EMAIL,EXPERIENCE,TIME_EXP1,EXP1_TITLE,EXP1_DESC,TIME_EXP2,EXP2_TITLE,EXP2_DESC,EDUCATION,TIME_EDU1,EDU1_TITLE,EDU1_DESC,TIME_EDU2,EDU2_TITLE,EDU2_DESC,SKILLS,SKILL1,SKILL2,SKILL3,SKILL4,ADD_SKILLS,ADD_SKILL1,ADD_SKILL2,ADD_SKILL3,ADD_SKILL4
NAME1,OCCUPATION1,img/foto1.jpg,ME1,CONT_ME1,CONTACT1,PHONE1,ADDRESS1,EMAIL1,EXPERIENCE1,TIME_EXP11,EXP11_TITLE,EXP11_DESC,TIME_EXP21,EXP21_TITLE,EXP21_DESC,EDUCATION1,TIME_EDU11,EDU11_TITLE,EDU11_DESC,TIME_EDU21,EDU21_TITLE,EDU21_DESC,SKILLS1,SKILL11,SKILL21,SKILL31,SKILL41,ADD_SKILLS1,ADD_SKILL11,ADD_SKILL21,ADD_SKILL31,ADD_SKILL41
NAME2,OCCUPATION2,img/foto2.jpg,ME2,CONT_ME2,CONTACT2,PHONE2,ADDRESS2,EMAIL2,EXPERIENCE2,TIME_EXP12,EXP12_TITLE,EXP12_DESC,TIME_EXP22,EXP22_TITLE,EXP22_DESC,EDUCATION2,TIME_EDU12,EDU12_TITLE,EDU12_DESC,TIME_EDU22,EDU22_TITLE,EDU22_DESC,SKILLS2,SKILL12,SKILL22,SKILL32,SKILL42,ADD_SKILLS2,ADD_SKILL12,ADD_SKILL22,ADD_SKILL32,ADD_SKILL42
NAME3,OCCUPATION3,img/foto3.jpg,ME3,CONT_ME3,CONTACT3,PHONE3,ADDRESS3,EMAIL3,EXPERIENCE3,TIME_EXP13,EXP13_TITLE,EXP13_DESC,TIME_EXP23,EXP23_TITLE,EXP23_DESC,EDUCATION3,TIME_EDU13,EDU13_TITLE,EDU13_DESC,TIME_EDU23,EDU23_TITLE,EDU23_DESC,SKILLS3,SKILL13,SKILL23,SKILL33,SKILL43,ADD_SKILLS3,ADD_SKILL13,ADD_SKILL23,ADD_SKILL33,ADD_SKILL43
NAME4,OCCUPATION4,img/foto4.jpg,ME4,CONT_ME4,CONTACT4,PHONE4,ADDRESS4,EMAIL4,EXPERIENCE4,TIME_EXP14,EXP14_TITLE,EXP14_DESC,TIME_EXP24,EXP24_TITLE,EXP24_DESC,EDUCATION4,TIME_EDU14,EDU14_TITLE,EDU14_DESC,TIME_EDU24,EDU24_TITLE,EDU24_DESC,SKILLS4,SKILL14,SKILL24,SKILL34,SKILL44,ADD_SKILLS4,ADD_SKILL14,ADD_SKILL24,ADD_SKILL34,ADD_SKILL44
NAME5,OCCUPATION5,img/foto5.jpg,ME5,CONT_ME5,CONTACT5,PHONE5,ADDRESS5,EMAIL5,EXPERIENCE5,TIME_EXP15,EXP15_TITLE,EXP15_DESC,TIME_EXP25,EXP25_TITLE,EXP25_DESC,EDUCATION5,TIME_EDU15,EDU15_TITLE,EDU15_DESC,TIME_EDU25,EDU25_TITLE,EDU25_DESC,SKILLS5,SKILL15,SKILL25,SKILL35,SKILL45,ADD_SKILLS5,ADD_SKILL15,ADD_SKILL25,ADD_SKILL35,ADD_SKILL45
NAME6,OCCUPATION6,img/foto6.jpg,ME6,CONT_ME6,CONTACT6,PHONE6,ADDRESS6,EMAIL6,EXPERIENCE6,TIME_EXP16,EXP16_TITLE,EXP16_DESC,TIME_EXP26,EXP26_TITLE,EXP26_DESC,EDUCATION6,TIME_EDU16,EDU16_TITLE,EDU16_DESC,TIME_EDU26,EDU26_TITLE,EDU26_DESC,SKILLS6,SKILL16,SKILL26,SKILL36,SKILL46,ADD_SKILLS6,ADD_SKILL16,ADD_SKILL26,ADD_SKILL36,ADD_SKILL46
NAME7,OCCUPATION7,img/foto7.jpg,ME7,CONT_ME7,CONTACT7,PHONE7,ADDRESS7,EMAIL7,EXPERIENCE7,TIME_EXP17,EXP17_TITLE,EXP17_DESC,TIME_EXP27,EXP27_TITLE,EXP27_DESC,EDUCATION7,TIME_EDU17,EDU17_TITLE,EDU17_DESC,TIME_EDU27,EDU27_TITLE,EDU27_DESC,SKILLS7,SKILL17,SKILL27,SKILL37,SKILL47,ADD_SKILLS7,ADD_SKILL17,ADD_SKILL27,ADD_SKILL37,ADD_SKILL47
NAME8,OCCUPATION8,img/foto8.jpg,ME8,CONT_ME8,CONTACT8,PHONE8,ADDRESS8,EMAIL8,EXPERIENCE8,TIME_EXP18,EXP18_TITLE,EXP18_DESC,TIME_EXP28,EXP28_TITLE,EXP28_DESC,EDUCATION8,TIME_EDU18,EDU18_TITLE,EDU18_DESC,TIME_EDU28,EDU28_TITLE,EDU28_DESC,SKILLS8,SKILL18,SKILL28,SKILL38,SKILL48,ADD_SKILLS8,ADD_SKILL18,ADD_SKILL28,ADD_SKILL38,ADD_SKILL48
NAME9,OCCUPATION9,img/foto9.jpg,ME9,CONT_ME9,CONTACT9,PHONE9,ADDRESS9,EMAIL9,EXPERIENCE9,TIME_EXP19,EXP19_TITLE,EXP19_DESC,TIME_EXP29,EXP29_TITLE,EXP29_DESC,EDUCATION9,TIME_EDU19,EDU19_TITLE,EDU19_DESC,TIME_EDU29,EDU29_TITLE,EDU29_DESC,SKILLS9,SKILL19,SKILL29,SKILL39,SKILL49,ADD_SKILLS9,ADD_SKILL19,ADD_SKILL29,ADD_SKILL39,ADD_SKILL49
NAME10,OCCUPATION10,img/foto10.jpg,ME10,CONT_ME10,CONTACT10,PHONE10,ADDRESS10,EMAIL10,EXPERIENCE10,TIME_EXP110,EXP110_TITLE,EXP110_DESC,TIME_EXP210,EXP210_TITLE,EXP210_DESC,EDUCATION10,TIME_EDU110,EDU110_TITLE,EDU110_DESC,TIME_EDU210,EDU210_TITLE,EDU210_DESC,SKILLS10,SKILL110,SKILL210,SKILL310,SKILL410,ADD_SKILLS10,ADD_SKILL110,ADD_SKILL210,ADD_SKILL310,ADD_SKILL410
